,11,8,SODA DI MARCO SRL -M11-,1343052,1,8,SP PLASTICOS S.R.L.,SODA DI MARCO SRL -M11-,2020-11-14,2020-11-16,
,1184,10,VIU S.A.,1740054,1,8,VIU S.A.,VIU SA,2020-12-12,2020-12-14,
,1184,10,VIU S.A.,1740059,1,8,VIU S.A.,VIU SA,2020-12-12,2020-12-14,
,1241,10,GAVANA S.A.,1350000,1,8,GAVANA S.A.,GAVANA S.A.,2020-12-12,2020-12-14,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1342218,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-11,2020-11-12,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1342219,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-11,2020-11-12,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1736189,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-04,2020-11-05,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1736190,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-04,2020-11-04,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1737588,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-18,2020-11-19,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1737589,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-18,2020-11-18,
,126,8,CRISTOBAL COLON S.R.L.-M126-,1738482,1,8,CRISTOBAL COLON S.R.L.-M126-,CRISTOBAL COLON S.R.L.-M126-,2020-11-26,2020-11-28,
,1261,10,COSMETICOS ANGOSTURA S.A.,1739996,1,8,COSMETICOS ANGOSTURA S.A.,GONZALEZ  DE  ROCA,2020-12-12,2020-12-14,
,1261,10,COSMETICOS ANGOSTURA S.A.,1740003,1,8,COSMETICOS ANGOSTURA S.A.,FERNANDEZ DE GIMENEZ,2020-12-12,2020-12-14,
,1382,10,DROGUERIA MARTORANI S.A.,1349893,1,8,DROGUERIA MARTORANI S.A.,DELTA,2020-12-12,2020-12-14,
,1411,10,EX-LIBRIS S.R.L.,1143940,1,8,EX-LIBRIS S.R.L.,REGISTRO MAIPU,2020-12-11,2020-12-14,
,1411,10,EX-LIBRIS S.R.L.,1144083,1,8,EX-LIBRIS S.R.L.,HUGO MENDEZ,2020-12-12,2020-12-14,
,165,8,MERCOSUR NONWOVENS S.A.-M165,1344187,1,2,MERCOSUR NONWOVENS S.A.-M165,I D E P SRL,2020-11-19,2020-11-19,
,165,8,MERCOSUR NONWOVENS S.A.-M165,1346051,1,8,MERCOSUR,MERCOSUR NONWOVENS S.A.-M165,2020-11-26,2020-11-27,
,165,8,MERCOSUR NONWOVENS S.A.-M165,1736371,1,8,MERCOSUR NONWOVENS S.A.-M165,MERCOSUR NONWOVENS S.A.-M165,2020-11-05,2020-11-06,
,173,8,BGAS.V.H.Y E.PULENTA S.A.-M173,1340288,1,8,BODEGA PULENTA,BGAS.V.H.Y E.PULENTA S.A.-M173,2020-11-03,2020-11-04,
,173,8,BGAS.V.H.Y E.PULENTA S.A.-M173,1349413,1,8,APHOLOS,BGAS.V.H.Y E.PULENTA S.A.-M173,2020-12-11,2020-12-14,
,182,8,DABRA S.A. DEXTER SHOPPING-182-L 132,312457,8,8,DABRA S.A. DEXTER SHOPPING-182-L 132,DABRA S.A.,2020-12-12,2020-12-14,
,182,8,DABRA S.A. DEXTER SHOPPING-182-L 132,1340690,1,8,DABRA S.A.,DABRA S.A.,2020-11-05,2020-11-06,
,182,8,DABRA S.A. DEXTER SHOPPING-182-L 132,1346180,1,8,DABRA S.A.,DABRA S.A.,2020-11-27,2020-11-28,
,182,8,DABRA S.A. DEXTER SHOPPING-182-L 132,1736844,1,8,WINNERS,DABRA S.A.,2020-11-11,2020-11-12,
,184,8,DABRA S.A. DEXTER S.M.Y GUT-184-L 145,1143017,1,8,ID ARGENTINA S.A.-M25,DABRA S.A.,2020-11-28,2020-11-30,
,184,8,DABRA S.A. DEXTER S.M.Y GUT-184-L 145,1738243,1,8,DABRA S.A.,DABRA S.A.,2020-11-27,2020-11-28,
,184,8,DABRA S.A. DEXTER S.M.Y GUT-184-L 145,1740047,1,8,DABRA S.A.,DABRA S.A.,2020-12-12,2020-12-14,
,184,8,DABRA S.A. DEXTER S.M.Y GUT-184-L 145,1740048,1,8,DABRA S.A.,DABRA S.A.,2020-12-12,2020-12-14,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1340805,1,8,LA  QUIMICA  SRL,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-05,2020-11-06,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1343821,1,8,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-18,2020-11-19,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1344321,1,8,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-19,2020-11-20,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1344558,1,9,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-20,2020-11-20,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1344638,1,9,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-20,2020-11-20,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1736244,1,9,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-05,2020-11-05,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1736245,1,8,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-05,2020-11-06,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1736246,1,8,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-05,2020-11-06,
,190,8,GERMED S.A. (EX GERENCIAM.MEDICO),1935865,1,8,APRESA S.A,GERMEN S.A. (EX GERENCIAM.MEDICO),2020-11-05,2020-11-06,
,2039,6,CALZADOS ARGENTINOS SA,289326,6,8,CALZADOS ARGENTINOS SA,BELARDINELLI ANTONIO E HIJOS-S113-,2020-12-10,2020-12-14,
,2039,6,CALZADOS ARGENTINOS SA,289329,6,8,CALZADOS ARGENTINOS SA,FOOTWEAR EMPRENDIMIENTO SRL,2020-12-10,2020-12-14,
,2039,6,CALZADOS ARGENTINOS SA,289337,6,8,CALZADOS ARGENTINOS SA,YAMBET SRL,2020-12-12,2020-12-14,
,2039,6,CALZADOS ARGENTINOS SA,289339,6,8,CALZADOS ARGENTINOS SA,CARRACEDO LUIS FELIPE,2020-12-12,2020-12-14,
,2039,6,CALZADOS ARGENTINOS SA,289340,6,8,CALZADOS ARGENTINOS SA,CALZADOS DEL ESTE SA,2020-12-12,2020-12-14,
,27,8,ANDELUNA CELLARS SRL-M27,328529,8,8,ANDELUNA CELLARS SRL-M27,AUDITORES CONSULTORES SA,2020-11-11,2020-11-13,
,27,8,ANDELUNA CELLARS SRL-M27,328537,8,8,ANDELUNA CELLARS SRL-M27,RIBA SMITH,2020-11-13,2020-11-16,
,27,8,ANDELUNA CELLARS SRL-M27,328680,8,8,ANDELUNA CELLARS SRL-M27,GRAFICA MI COLOR SA,2020-11-20,2020-11-20,
,27,8,ANDELUNA CELLARS SRL-M27,328681,8,8,ANDELUNA CELLARS SRL-M27,LOTSA SA,2020-11-20,2020-11-24,
,27,8,ANDELUNA CELLARS SRL-M27,328683,8,8,ANDELUNA CELLARS SRL-M27,ANDELUNA CELLARS SRL-M27,2020-11-20,2020-11-24,
,27,8,ANDELUNA CELLARS SRL-M27,1340479,1,8,AKIAN,ANDELUNA CELLARS SRL-M27,2020-11-04,2020-11-05,
,27,8,ANDELUNA CELLARS SRL-M27,1346638,1,8,MOVILIFT SRL,ANDELUNA CELLARS SRL-M27,2020-11-30,2020-12-02,
,280,8,DOMINIO DEL PLATA SA-M280,1343354,1,8,ALTPROS S.A.,DOMINIO DEL PLATA SA-M280,2020-11-17,2020-11-18,
,280,8,DOMINIO DEL PLATA SA-M280,9212874,2,8,ORBITAL INGENIERIA,DOMINIO DEL PLATA SA-M280,2020-11-03,2020-11-04,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1341161,1,8,WINTERS,SUDAMERICANA DE FILTRADOS SA M291,2020-11-06,2020-11-09,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1343109,1,8,SCALTER  SRL,SUDAMERICANA DE FILTRADOS SA M291,2020-11-14,2020-11-16,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1343252,1,8,MT,SUDAMERICANA DE FILTRADOS SA M291,2020-11-14,2020-11-16,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1344445,1,8,ACHROMA  ARGENTINA SA,SUDAMERICANA DE FILTRADOS SA M291,2020-11-20,2020-11-24,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1736200,1,8,SUDAMERICANA DE FILTRADOS SA M291,SUDAMERICANA DE FILTRADOS SA M291,2020-11-04,2020-11-05,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1737935,1,8,SUDAMERICANA DE FILTRADOS SA M291,SUDAMERICANA DE FILTRADOS SA M291,2020-11-20,2020-11-24,
,291,8,SUDAMERICANA DE FILTRADOS SA-M291,1739888,1,8,SUDAMERICANA DE FILTRADOS SA M291,SUDAMERICANA DE FILTRADOS SA M291,2020-12-11,2020-12-14,
,292,8,DOMAINE BOUSQUET SA-M292,1343716,1,8,TALLERES  JUJUY,DOMAINE BOUSQUET SA-M292 (CBA 10%),2020-11-18,2020-11-20,
,292,8,DOMAINE BOUSQUET SA-M292,1737852,1,8,RAYPAC SRL,DOMAINE BOUSQUET SA-M292 (CBA 10%),2020-11-20,2020-11-24,
,294,8,BODEGA BENEGAS SA-M294,1346150,1,8,BODEGA BENEGAS SA-M294,BODEGA BENEGAS SA-M294,2020-11-26,2020-11-30,
,294,8,BODEGA BENEGAS SA-M294,1935655,1,8,GERMAN GOMEZ,BODEGA BENEGAS SA-M294,2020-11-03,2020-11-04,
,314,8,SOLYTEC SRL-M314 -RTO CAR,1346656,1,8,SOLYTEC SRL-M314 -RTO CAR,H S B C-BANCO ROBERTS,2020-11-30,2020-11-30,
,314,8,SOLYTEC SRL-M314 -RTO CAR,1349731,1,8,SOLYTEC SRL-M314 -RTO CAR,BANCO SUPERVIELLE SA,2020-12-12,2020-12-14,
,318,8,EQUIPAR SOLUCIONES GASTRONOMICAS SA-M318,1740140,1,8,EQUIPOS DEL CHEF,EQUIPAR SOLUCIONES GASTRONOMICAS S.A.,2020-12-14,2020-12-14,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,508862,7,8,DEXTER,DABRA S.A.,2020-11-18,2020-11-19,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,508970,7,8,DEXTER,DABRA S.A.,2020-11-27,2020-11-30,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1340691,1,8,DABRA S.A.,DABRA S.A.,2020-11-05,2020-11-06,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1346383,1,8,DABRA S.A.,DABRA S.A.,2020-11-27,2020-11-30,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1736838,1,8,WINNERS,DABRA S.A.,2020-11-11,2020-11-12,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1740044,1,8,DABRA S.A.,DABRA S.A.,2020-12-12,2020-12-14,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1740045,1,8,DABRA S.A.,DABRA S.A.,2020-12-12,2020-12-14,
,324,8,DABRA S.A.DEXTER SM 1528-M324-L 206,1740046,1,8,DABRA S.A.,DABRA S.A.,2020-12-12,2020-12-14,
,333,8,FICAMEN S.A.-M333,1341851,1,8,ANSAL,FICAMEN SA,2020-11-10,2020-11-11,
,333,8,FICAMEN S.A.-M333,1343877,1,8,INDUSTRIA FERRO,FICAMEN SA,2020-11-18,2020-11-19,
,333,8,FICAMEN S.A.-M333,1736328,1,8,JOMAF,FICAMEN SA,2020-11-05,2020-11-06,
,34,8,YACMAN S S.A.-34,9215390,2,8,DHM,YACMANS S.A./t-121 p/vinos,2020-12-12,2020-12-14,
,347,8,AEB ARGENTINA S.A.347,9214492,2,8,WINDY,AEB ARGENTINA S.A.,2020-11-27,2020-11-30,
,349,8,LA CABANA DE MENDOZA SA-M349,1339734,1,8,IPC FLEX,LA CABANA DE MENDOZA SA-M349,2020-11-03,2020-11-04,
,349,8,LA CABANA DE MENDOZA SA-M349,1346563,1,8,CASTOROIL SACIAF EL,LA CABANA DE MENDOZA SA-M349,2020-11-30,2020-11-30,
,349,8,LA CABANA DE MENDOZA SA-M349,9214042,2,8,INNOVAGRO,LA CABANA DE MENDOZA SA-M349,2020-11-20,2020-11-20,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366555,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,DALMASO,2020-11-11,2020-11-13,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366556,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,FUGAZZOTTO,2020-11-11,2020-11-13,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366557,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,CINQUEMANI,2020-11-11,2020-11-13,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366558,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,GUERRERO GISEL,2020-11-13,2020-11-16,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366559,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,FERRANDO VANINA,2020-11-11,2020-11-13,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366560,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,SANCHEZ MIRTA,2020-11-11,2020-11-12,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366565,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,VECCHIUTI,2020-11-17,2020-11-30,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366590,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,MUNOZ OMAR,2020-11-19,2020-11-21,
,354,8,IDEAS Y CONCEPTOS S.A.-M354 MM,366600,8,8,IDEAS Y CONCEPTOS S.A.-M354 MM,SANCHEZ CRISTINA,2020-11-26,2020-11-30,
,358,8,LOGICARGO SRL M358 MZA,1346953,1,8,LOGICARGO SRL M358 MZA,JULIO GONZALEZ,2020-12-01,2020-12-01,
,358,8,LOGICARGO SRL M358 MZA,1347107,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-01,2020-12-02,
,358,8,LOGICARGO SRL M358 MZA,1348312,1,8,LOGICARGO SRL M358 MZA,ANTONIO LUQUIN SACIFI-M38,2020-12-04,2020-12-05,
,358,8,LOGICARGO SRL M358 MZA,1348313,1,8,LOGICARGO SRL M358 MZA,AEROPUERTO MZA T DE CONTROL,2020-12-04,2020-12-10,
,358,8,LOGICARGO SRL M358 MZA,1348627,1,8,LOGICARGO SRL M358 MZA,MAXICONSUMO S.A,2020-12-05,2020-12-14,
,358,8,LOGICARGO SRL M358 MZA,1348905,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1348906,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1348911,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1348929,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1348943,1,8,LOGICARGO SRL M358 MZA,ANTONIO LUQUIN SACIFI-M38,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1348945,1,8,LOGICARGO SRL M358 MZA,ANTONIO LUQUIN SACIFI-M38,2020-12-10,2020-12-11,
,358,8,LOGICARGO SRL M358 MZA,1349452,1,6,LOGICARGO SRL M358 MZA,MAXICONSUMO S.A.,2020-12-12,2020-12-12,
,358,8,LOGICARGO SRL M358 MZA,1349471,1,8,LOGICARGO SRL M358 MZA,DABRA S.A.,2020-12-11,2020-12-12,
